2019-04-14 16:32:28.496580|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxfamilyclients'(id:99) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.496763|INFO    |VirtualServer |1  |permission 'b_channel_create_with_needed_talk_power'(id:102) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.496940|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_maxquality'(id:96) with values (value:7, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.497124|INFO    |VirtualServer |1  |permission 'i_channel_max_depth'(id:78) with values (value:5, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.497303|INFO    |VirtualServer |1  |permission 'i_channel_delete_power'(id:129) with values (value:60, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.497484|INFO    |VirtualServer |1  |permission 'b_channel_delete_semi_permanent'(id:126) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.497664|INFO    |VirtualServer |1  |permission 'b_channel_delete_temporary'(id:127) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.497842|INFO    |VirtualServer |1  |permission 'b_channel_delete_flag_force'(id:128) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.498026|INFO    |VirtualServer |1  |permission 'i_client_max_avatar_filesize'(id:175) with values (value:200000, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.498205|INFO    |VirtualServer |1  |permission 'i_client_max_channel_subscriptions'(id:176) with values (value:-1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.498388|INFO    |VirtualServer |1  |permission 'i_channel_subscribe_power'(id:138) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.498567|INFO    |VirtualServer |1  |permission 'i_client_private_textmessage_power'(id:214) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.498764|INFO    |VirtualServer |1  |permission 'b_client_channel_textmessage_send'(id:217) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.498940|INFO    |VirtualServer |1  |permission 'b_client_offline_textmessage_send'(id:218) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.499125|INFO    |VirtualServer |1  |permission 'i_ft_file_delete_power'(id:237) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.499300|INFO    |VirtualServer |1  |permission 'i_ft_file_rename_power'(id:239) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.499480|INFO    |VirtualServer |1  |permission 'i_ft_directory_create_power'(id:243) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.499657|INFO    |VirtualServer |1  |permission 'i_ft_file_upload_power'(id:233) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.499840|INFO    |VirtualServer |1  |permission 'i_ft_quota_mb_upload_per_client'(id:246) with values (value:-1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.500016|INFO    |VirtualServer |1  |permission 'i_ft_file_download_power'(id:235) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.500200|INFO    |VirtualServer |1  |permission 'i_ft_quota_mb_download_per_client'(id:245) with values (value:-1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.500376|INFO    |VirtualServer |1  |permission 'i_ft_file_browse_power'(id:241) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.874981|INFO    |VirtualServer |1  |permission 'b_channel_create_child'(id:83) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.875373|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex32'(id:92) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.875719|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex8'(id:90) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.876176|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex16'(id:91) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.876671|INFO    |VirtualServer |1  |permission 'b_channel_create_with_description'(id:88) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.877254|INFO    |VirtualServer |1  |permission 'b_channel_create_with_password'(id:89) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.877814|INFO    |VirtualServer |1  |permission 'b_channel_create_with_needed_talk_power'(id:102) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.878234|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxclients'(id:98) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
2019-04-14 16:33:06.878571|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxfamilyclients'(id:99) was deleted by 'J. Downs'(id:2) from servergroup '[Cpt]'(id:10)
